,index,abv,ibu,id,name,style,brewery_id,ounces,beer_group,group_name,group_abbrev,super_class_id,class_name,Predicted_Class
83,83,0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0,5.0,Pale Ale,PA,1.0,Ale,Lager
84,84,0.052000000000000005,33.0,1137,Pre Flight Pilsner,American Pilsner,367,16.0,11.0,Pilsner,PL,2.0,Lager,Lager
85,85,0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0,11.0,Pilsner,PL,2.0,Lager,Lager
86,86,0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
87,87,0.08199999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
88,88,0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
89,89,0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,9.0,German Lager,GL,2.0,Lager,Lager
95,95,0.062,43.0,837,Desolation IPA,American IPA,401,16.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
105,105,0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
106,106,0.055999999999999994,4.0,1350,Summer Solstice,Cream Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
107,107,0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
108,108,0.057999999999999996,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
109,109,0.057,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
110,110,0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,9.0,German Lager,GL,2.0,Lager,Lager
111,111,0.057999999999999996,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
112,112,0.055999999999999994,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
113,113,0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
114,114,0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
115,115,0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
116,116,0.057999999999999996,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
117,117,0.055999999999999994,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,1.0,Other Ale,OA,1.0,Ale,SP
118,118,0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
128,128,0.071,75.0,2511,Long Leaf,American IPA,69,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
129,129,0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,1.0,Other Ale,OA,1.0,Ale,Lager
130,130,0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,4.0,Stout/Porter,SP,3.0,SP,SP
131,131,0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
132,132,0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
134,134,0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
135,135,0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,Lager
136,136,0.052000000000000005,10.0,1172,Mo's Gose,Gose,461,16.0,8.0,German Ale,GA,1.0,Ale,Lager
137,137,0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
138,138,0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,9.0,German Lager,GL,2.0,Lager,Lager
139,139,0.053,26.0,429,Ninja Porter,American Porter,528,12.0,4.0,Stout/Porter,SP,3.0,SP,Lager
140,140,0.06,69.0,428,Shiva IPA,American IPA,528,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
144,144,0.055999999999999994,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,1.0,Other Ale,OA,1.0,Ale,SP
145,145,0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
146,146,0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
147,147,0.08199999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
148,148,0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
149,149,0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,1.0,Other Ale,OA,1.0,Ale,SP
150,150,0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
151,151,0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,4.0,Stout/Porter,SP,3.0,SP,Lager
153,153,0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
154,154,0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
155,155,0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,9.0,German Lager,GL,2.0,Lager,Lager
163,163,0.047,42.0,146,Avery Joe's Premium American Pilsner,German Pilsener,37,12.0,11.0,Pilsner,PL,2.0,Lager,Ale
164,164,0.055999999999999994,10.0,108,White Rascal,Witbier,37,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,SP
165,165,0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
166,166,0.055,17.0,106,Ellie's Brown Ale,American Brown Ale,37,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
167,167,0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,1.0,Other Ale,OA,1.0,Ale,SP
168,168,0.07200000000000001,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,9.0,German Lager,GL,2.0,Lager,SP
169,169,0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
171,171,0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,SP
172,172,0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,1.0,Other Ale,OA,1.0,Ale,SP
179,179,0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
180,180,0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
181,181,0.044000000000000004,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
183,183,0.038,40.0,2105,Even Keel,American IPA,34,12.0,3.0,India Pale Ale,IPA,5.0,IPA,Lager
184,184,0.052000000000000005,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,9.0,German Lager,GL,2.0,Lager,Lager
185,185,0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
187,187,0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
189,189,0.045,20.0,1644,Banner American Rye,Rye Beer,318,12.0,2.0,American Lager,AL,2.0,Lager,Lager
190,190,0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,318,12.0,1.0,Other Ale,OA,1.0,Ale,Ale
191,191,0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
192,192,0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
194,194,0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,11.0,Pilsner,PL,2.0,Lager,Lager
195,195,0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
196,196,0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,2.0,American Lager,AL,2.0,Lager,IPA
197,197,0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,Lager
199,199,0.054000000000000006,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,2.0,American Lager,AL,2.0,Lager,Ale
200,200,0.067,70.0,1965,Sky-Five,American IPA,258,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
201,201,0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,9.0,German Lager,GL,2.0,Lager,Lager
202,202,0.054000000000000006,48.0,1963,Wonderstuff,German Pilsener,258,12.0,11.0,Pilsner,PL,2.0,Lager,Ale
204,204,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,8.0,German Ale,GA,1.0,Ale,SP
209,209,0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
210,210,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
211,211,0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
212,212,0.08800000000000001,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
213,213,0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
214,214,0.057999999999999996,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
215,215,0.068,85.0,2420,Back Bay IPA,American IPA,103,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
223,223,0.044000000000000004,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,3.0,India Pale Ale,IPA,5.0,IPA,Ale
225,225,0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,1.0,Other Ale,OA,1.0,Ale,SP
227,227,0.07200000000000001,87.0,2410,Harness the Winter,American IPA,75,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
228,228,0.055999999999999994,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
229,229,0.062,68.0,1901,Bent Hop Golden IPA,American IPA,75,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
230,230,0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,1.0,Other Ale,OA,1.0,Ale,SP
231,231,0.05,38.0,1253,Venture Pils,German Pilsener,75,12.0,11.0,Pilsner,PL,2.0,Lager,Lager
232,232,0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,3.0,India Pale Ale,IPA,5.0,IPA,Lager
233,233,0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
239,239,0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,5.0,Pale Ale,PA,1.0,Ale,SP
240,240,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
242,242,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,1.0,Other Ale,OA,1.0,Ale,IPA
246,246,0.08,54.0,2639,Dark Star,American Stout,8,16.0,4.0,Stout/Porter,SP,3.0,SP,SP
249,249,0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
250,250,0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,11.0,Pilsner,PL,2.0,Lager,Lager
251,251,0.06,55.0,632,House Brand IPA,American IPA,519,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
252,252,0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
253,253,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
254,254,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
255,255,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
256,256,0.07200000000000001,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,IPA
257,257,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
258,258,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
259,259,0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
261,261,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
262,262,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
263,263,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
264,264,0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
265,265,0.057999999999999996,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,1.0,Other Ale,OA,1.0,Ale,SP
266,266,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,5.0,Pale Ale,PA,1.0,Ale,Ale
267,267,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,2.0,American Lager,AL,2.0,Lager,SP
268,268,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
269,269,0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,4.0,Stout/Porter,SP,3.0,SP,Lager
270,270,0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
271,271,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,5.0,Pale Ale,PA,1.0,Ale,Ale
275,275,0.07200000000000001,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,2.0,American Lager,AL,2.0,Lager,IPA
276,276,0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
277,277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
278,278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,8.0,German Ale,GA,1.0,Ale,Lager
279,279,0.057999999999999996,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
280,280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0,5.0,Pale Ale,PA,1.0,Ale,IPA
281,281,0.071,45.0,1849,American Red Porter,American Porter,294,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
282,282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,SP
283,283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0,1.0,Other Ale,OA,1.0,Ale,SP
284,284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
285,285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
287,287,0.048,47.0,2634,Nordskye ,American IPA,12,12.0,3.0,India Pale Ale,IPA,5.0,IPA,Ale
288,288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,4.0,Stout/Porter,SP,3.0,SP,SP
291,291,0.07,51.0,1481,51K IPA,American IPA,12,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
303,303,0.055999999999999994,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
304,304,0.055999999999999994,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
305,305,0.055999999999999994,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
306,306,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
309,309,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
310,310,0.059000000000000004,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.0,5.0,Pale Ale,PA,1.0,Ale,IPA
311,311,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
312,312,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.0,9.0,German Lager,GL,2.0,Lager,Lager
313,313,0.059000000000000004,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.0,5.0,Pale Ale,PA,1.0,Ale,IPA
314,314,0.049,16.0,1408,Kölsch 151,Kölsch,414,12.0,9.0,German Lager,GL,2.0,Lager,Lager
320,320,0.06,40.0,692,Blue Point White IPA,American White IPA,489,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
321,321,0.044000000000000004,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
322,322,0.055,28.0,665,Toasted Lager,Vienna Lager,489,12.0,9.0,German Lager,GL,2.0,Lager,Lager
331,331,0.042,30.0,1891,Longhop IPA,American IPA,281,16.0,3.0,India Pale Ale,IPA,5.0,IPA,Lager
332,332,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,16.0,4.0,Stout/Porter,SP,3.0,SP,Lager
334,334,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.0,9.0,German Lager,GL,2.0,Lager,Lager
335,335,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
336,336,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.0,5.0,Pale Ale,PA,1.0,Ale,SP
337,337,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.0,11.0,Pilsner,PL,2.0,Lager,Lager
338,338,0.055999999999999994,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.0,9.0,German Lager,GL,2.0,Lager,SP
339,339,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
344,344,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
346,346,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.0,5.0,Pale Ale,PA,1.0,Ale,Ale
353,353,0.066,72.0,633,Firestarter India Pale Ale,American IPA,107,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
354,354,0.071,16.0,2062,Noche Dulce,American Porter,231,16.0,4.0,Stout/Porter,SP,3.0,SP,SP
355,355,0.045,8.0,1830,Porch Rocker,Radler,300,12.0,9.0,German Lager,GL,2.0,Lager,Lager
